# Expressions quotidiennes — marqueurs du discours
# Format : français | traduction
# Dernière mise à jour : 2026-05-24

Ouais, c'est vrai. | 对，是真的。
Voilà, c'est tout. | 好了，就这些。
Exactement, t'as raison. | 正是，你说得对。
Tout à fait d'accord. | 完全同意。
C'est ça, exactement. | 对，就是这样。
C'est carrément nul. | 这完全是垃圾。
Pas vraiment, non. | 不太，不是的。
Non, pas du tout. | 不，一点也不。
Bof, c'est pas terrible. | 唉，没什么意思。
Ça dépend du contexte. | 要看情况。
Pourquoi pas, allons-y ! | 为什么不呢，走吧！
On verra bien demain. | 明天再说吧。
Ça marche, à tout à l'heure ! | 好的，待会见！
Tout ça roule ? | 一切都好？
T'inquiète, je gère. | 别担心，我来搞定。
Laisse tomber, c'est trop tard. | 算了，太晚了。
Ben, je sais pas trop. | 那个……我也不太确定。
Bah oui, c'est normal ! | 呃，当然，这很正常！
Enfin, c'est ton choix. | 总之，这是你的选择。
Il pleut, du coup je reste. | 下雨了，所以我就不出去了。
En fait, j'ai changé d'avis. | 其实，我改主意了。
C'est genre trop bien ! | 就是那种感觉，太棒了！
C'est bien, hein ? | 不错吧？
C'est normal, quoi. | 这很正常嘛。
C'est sympa comme endroit. | 这个地方挺不错的。
